Customer_ID,Product_ID,Product_Name,Category,Quantity,Unit_Price,Sales_Amount,Date
C4470,P005,Desk Lamp,Furniture,8,1500,12000,2024-09-09
C6925,P006,Keyboard,Accessories,10,2000,20000,2024-09-03
C9328,P003,Headphones,Accessories,1,2500,2500,2024-09-14
C9216,P003,Headphones,Accessories,2,2500,5000,2024-09-20
C7986,P004,Office Chair,Furniture,3,8000,24000,2024-09-13
C8032,P007,Monitor,Electronics,8,12000,96000,2024-09-14
C2097,P002,Laptop,Electronics,5,55000,275000,2024-08-31
C7124,P006,Keyboard,Accessories,9,2000,18000,2024-09-18
C6817,P004,Office Chair,Furniture,5,8000,40000,2024-09-12
C3181,P003,Headphones,Accessories,2,2500,5000,2024-09-16
C9080,P005,Desk Lamp,Furniture,10,1500,15000,2024-09-23
C6799,P005,Desk Lamp,Furniture,1,1500,1500,2024-09-16
C5056,P003,Headphones,Accessories,6,2500,15000,2024-09-27
C2030,P004,Office Chair,Furniture,1,8000,8000,2024-09-23
C8701,P001,Smartphone,Electronics,2,15000,30000,2024-09-20
C1251,P004,Office Chair,Furniture,2,8000,16000,2024-09-26
C7999,P004,Office Chair,Furniture,9,8000,72000,2024-09-17
C9953,P002,Laptop,Electronics,1,55000,55000,2024-08-31
C2006,P001,Smartphone,Electronics,1,15000,15000,2024-09-16
C8193,P006,Keyboard,Accessories,2,2000,4000,2024-09-13
C2719,P006,Keyboard,Accessories,3,2000,6000,2024-09-04
C5530,P002,Laptop,Electronics,9,55000,495000,2024-09-24
C8751,P005,Desk Lamp,Furniture,2,1500,3000,2024-09-19
C7322,P006,Keyboard,Accessories,6,2000,12000,2024-09-23
C8698,P001,Smartphone,Electronics,1,15000,15000,2024-09-26
C6813,P002,Laptop,Electronics,6,55000,330000,2024-09-24
C5236,P005,Desk Lamp,Furniture,2,1500,3000,2024-09-21
C4344,P002,Laptop,Electronics,10,55000,550000,2024-09-04
C7753,P007,Monitor,Electronics,4,12000,48000,2024-09-11
C7222,P007,Monitor,Electronics,4,12000,48000,2024-09-27
C5184,P004,Office Chair,Furniture,10,8000,80000,2024-09-07
C1682,P002,Laptop,Electronics,9,55000,495000,2024-09-26
C3056,P006,Keyboard,Accessories,4,2000,8000,2024-09-01
C7695,P002,Laptop,Electronics,2,55000,110000,2024-09-24
C9060,P002,Laptop,Electronics,8,55000,440000,2024-09-05
C1894,P006,Keyboard,Accessories,3,2000,6000,2024-08-30
C6151,P005,Desk Lamp,Furniture,3,1500,4500,2024-09-20
C9608,P004,Office Chair,Furniture,1,8000,8000,2024-09-04
C5522,P001,Smartphone,Electronics,4,15000,60000,2024-09-05
C7044,P003,Headphones,Accessories,9,2500,22500,2024-09-07
C1677,P003,Headphones,Accessories,5,2500,12500,2024-08-30
C8222,P007,Monitor,Electronics,4,12000,48000,2024-09-16
C7990,P006,Keyboard,Accessories,9,2000,18000,2024-09-05
C2024,P007,Monitor,Electronics,1,12000,12000,2024-09-13
C3383,P006,Keyboard,Accessories,10,2000,20000,2024-09-25
C2082,P002,Laptop,Electronics,6,55000,330000,2024-09-03
C5097,P006,Keyboard,Accessories,1,2000,2000,2024-09-01
C1065,P005,Desk Lamp,Furniture,2,1500,3000,2024-09-21
C7056,P005,Desk Lamp,Furniture,6,1500,9000,2024-09-01
C3947,P007,Monitor,Electronics,1,12000,12000,2024-09-01
